proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023733,replace damaged stucco in kind at front of building,20000,24th,1,Av,031,2021-07-02T00:00:00.000,0,1455,3,3,Outer Richmond,otc alterations permit,8,2021-07-02T00:00:00.000,94121,1620174100433,wood frame (5),20000,416,2 family dwelling,2,"{coordinates:[-122.48348165995799,37.78166426985579],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023719,replacing fixtures in kind/replacing tile. in one bathroom of lower unit.,25000,Oak,5,St,014,2021-07-02T00:00:00.000,0,0840,2,2,Hayes Valley,otc alterations permit,8,2021-07-02T00:00:00.000,94102,162015882775,wood frame (5),25000,483,2 family dwelling,2,"{coordinates:[-122.42720801536186,37.774229458679685],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023718,add a 2nd unit: convert at 1st floor to livng space:install new furnace and water heater.,0,Girard,9,St,024,2021-07-02T00:00:00.000,2,5981,2,3,Portola,otc alterations permit,8,2021-07-02T00:00:00.000,94134,1620157193174,wood frame (5),39000,201,1 family dwelling,1,"{coordinates:[-122.40528462959043,37.729729382849754],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023722,"work to conform to his complaints 202177781, 202178672, 202178673, 202178674, kitchen cabinets, window as specified, stairs (rear), kitchen floor tiles or linoleum. windows not facing street.",30000,20th,9,St,037C,2021-07-02T00:00:00.000,0,4088,2,2,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620161170079,wood frame (5),30000,2721,2 family dwelling,2,"{coordinates:[-122.40839154422369,37.759117997513584],type:Point}",issued,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,12,5,202107023684,small dryrot repairs around the 3 front windows in the 2/f of bldg at the trims (20 sf max),8800,09th,1,Av,011,2021-07-02T00:00:00.000,0,1369,4,4,Inner Richmond,otc alterations permit,8,2021-07-02T00:00:00.000,94118,1620117403668,wood frame (5),8800,195,apartments,12,"{coordinates:[-122.46798281286954,37.78490414825197],type:Point}",issued,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,11,5,202107023730,"replace shower pan, wet walls, valve, toilet, vanity and exhaust fan. install vacancy sensor, dedicated gfci, vanity light and vanity light wiring.",30000,Wisconsin,10,St,085,2021-07-02T00:00:00.000,0,4162,3,3,Potrero Hill,otc alterations permit,8,2021-07-02T00:00:00.000,94107,1620171171796,wood frame (5),30000,999,apartments,11,"{coordinates:[-122.39840389789433,37.754978984190956],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023683,to comply with physical inspection report cc-8511 : replace 7 street facing windows. windows at front ot be hung wood and with ogee lugs,10000,04th,5,Av,018,2021-07-02T00:00:00.000,0,1747,3,3,Inner Sunset,otc alterations permit,8,2021-07-02T00:00:00.000,94122,1620134466016,wood frame (5),10000,1222,2 family dwelling,2,"{coordinates:[-122.46072767078657,37.76569229826095],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023741,french drain installation at north exterior wall. total amount of excavation estimated to be 16.33 cubic yards and back fill.,10000,Sanchez,8,St,003,2021-07-02T00:00:00.000,0,6602,3,3,Noe Valley,otc alterations permit,8,2021-07-02T00:00:00.000,94131,1620184208840,wood frame (5),10000,1468,1 family dwelling,1,"{coordinates:[-122.42940205732612,37.74566294317263],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023740,"downstair master bathroom remodeling. no sturctual change, no layout change. replace back retrofit windows, not visible from street.",10000,Monterey,7,Bl,004,2021-07-02T00:00:00.000,0,3274,2,2,West of Twin Peaks,otc alterations permit,8,2021-07-02T00:00:00.000,94127,1620182418712,wood frame (5),10000,1135,1 family dwelling,1,"{coordinates:[-122.46074470170268,37.72997585395862],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023724,"replace tub, wet walls, and valve with shower pan. replace toilet and exhaust fan. install vacancy sensor and dedicated gfci.",20000,Gates,9,St,023,2021-07-02T00:00:00.000,0,5660,2,2,Bernal Heights,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620164186113,wood frame (5),20000,271,1 family dwelling,1,"{coordinates:[-122.41382211933706,37.73926087485525],type:Point}",issued,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,3,5,202107023662,re-roofing,11500,Fulton,5,St,070,2021-07-02T00:00:00.000,0,0793,3,3,Hayes Valley,otc alterations permit,8,2021-07-02T00:00:00.000,94102,1620093490131,wood frame (5),11500,491,apartments,3,"{coordinates:[-122.42470896197631,37.77835767663157],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023675,replace siding on the front only with james hardie shingles replace 10 windows and 2 doors. windows at front to be fiber glass within the existing opening.,40000,Gold Mine,8,Dr,032,2021-07-02T00:00:00.000,0,7532,2,2,Glen Park,otc alterations permit,8,2021-07-02T00:00:00.000,94131,1620107227909,wood frame (5),40000,461,1 family dwelling,1,"{coordinates:[-122.43690891440403,37.739871994093754],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023729,install/mount battery energy storage system 40.5 wh (3x power walls),0,25th,8,St,041,2021-07-02T00:00:00.000,2,6550,3,3,Noe Valley,otc alterations permit,8,2021-07-02T00:00:00.000,94114,1620169368769,wood frame (5),22000,3827,2 family dwelling,2,"{coordinates:[-122.42566593910308,37.74994942538928],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023695,build new fence alogn p|l at 6ft max including retaining wall below 4ft max on s/s of p|l. all work within p|l.,10000,Florida,9,St,003,2021-07-02T00:00:00.000,0,5505,2,2,Bernal Heights,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620129182965,wood frame (5),10000,1526,1 family dwelling,1,"{coordinates:[-122.4098780908006,37.747868057212415],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023663,"replacing 3 street facing windows in kind and 8 non street facing windows. (e) wood with new aluminum clad. same size, no rough opening changes. u-factor <0.30. operation of street facing windows to be double hung with ogee lugs.",35921,Eddy,5,St,015,2021-07-02T00:00:00.000,0,1126,3,3,Western Addition,otc alterations permit,8,2021-07-02T00:00:00.000,94115,162009489965,wood frame (5),35921,1980,2 family dwelling,2,"{coordinates:[-122.4402763756018,37.78070096293497],type:Point}",issued,wood frame (5)
,1,2021-07-02T00:00:00.000,,1,202107023660,"floor 15a corridor/lobby: addition of 11 smoke detectors, 9 spearker/strobes,1 strobe, and the relocation of 1 pull station. ref pa202103015549. maher n/a.",13250,Market,6,St,007,2021-07-02T00:00:00.000,2,3713,43,43,Financial District/South Beach,otc alterations permit,8,2021-07-02T00:00:00.000,94105,1620091164605,constr type 1,13250,1,office,,"{coordinates:[-122.39420507489159,37.79335721959559],type:Point}",issued,constr type 1
apartments,1,2021-07-02T00:00:00.000,43,1,202107023702,apt 21/3rd flr: convert (e) dining to nook. rehab (e) kitchen & bathroom. install washer/dryer into (e) closet. sprinkler & poss fire alarm under sep permit.,0,Hyde,6,St,003,2021-07-02T00:00:00.000,2,0321,12,12,Tenderloin,otc alterations permit,8,2021-07-02T00:00:00.000,94109,1620138301247,constr type 1,32000,455,apartments,43,"{coordinates:[-122.4164694067951,37.78505635841977],type:Point}",filed,constr type 1
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023685,"add 2-story extension at rear. basement lvl- move bathrm, reconfig walls. main lvl- convert full bath to half bath, (n) laundry, remove portion of wall at living rm, remodel kitchen. upper lvl- remodel bath, remove wall in front bedrm, create master suite w/ (n) bath & closet. 2 (n",,Elizabeth,8,St,018,2021-07-02T00:00:00.000,2,3653,3,3,Noe Valley,additions alterations or repairs,3,2021-07-02T00:00:00.000,94114,1620127164126,wood frame (5),200000,454,1 family dwelling,1,"{coordinates:[-122.43099724808962,37.752528094337386],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023688,rev to pa202011209351: additoinal retaining walls to be replace due to (e) fialing concrete conditions.,0,Precita,9,Av,102,2021-07-02T00:00:00.000,2,5517,2,2,Bernal Heights,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620121454765,wood frame (5),12000,158,2 family dwelling,2,"{coordinates:[-122.41678298160885,37.74699536697037],type:Point}",filed,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,3,5,202107023687,rerfoofing,16657,Guerrero,8,St,064,2021-07-02T00:00:00.000,0,3617,4,4,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620119265371,wood frame (5),16657,909,apartments,3,"{coordinates:[-122.42300151057397,37.7565924788957],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023723,repair deteriorated front stair in-kind less than 50%,6000,Geneva,11,Av,026,2021-07-02T00:00:00.000,0,6412,2,2,Excelsior,otc alterations permit,8,2021-07-02T00:00:00.000,94112,1620162202512,wood frame (5),6000,1028,1 family dwelling,1,"{coordinates:[-122.43909518716899,37.71520390245432],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023721,"remodel one kitchen & one bathroom. replace (e) plaster wall at dining & family room, bedroom w/ 5/8 tpe x gyp. bd.new electrical wiring.",37000,Huron,11,Av,043C,2021-07-02T00:00:00.000,0,7100,2,2,Outer Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94112,1620160221472,wood frame (5),37000,721,1 family dwelling,1,"{coordinates:[-122.44966805535117,37.711666373380496],type:Point}",issued,wood frame (5)
food/beverage hndlng,2,2021-07-02T00:00:00.000,0,2,202107023682,ste 308 (3rd fl): remove (e) exhaust fan & install new exhaust fan & make up air fan,10000,03rd,10,St,001,2021-07-02T00:00:00.000,2,4173,3,3,Potrero Hill,otc alterations permit,8,2021-07-02T00:00:00.000,94107,1620115373746,constr type 2,10000,2565,food/beverage hndlng,0,"{coordinates:[-122.38767336255364,37.75669433497166],type:Point}",issued,constr type 2
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023678,"revision to pa 2021-0420-8903 - lower (e) slab @ 1st floor, add sliding glass doors to 2nd floor; reconfigure bathroom. remove (e) stairs @ rear yard.",0,Santiago,4,St,045,2021-07-02T00:00:00.000,2,2372,2,2,Sunset/Parkside,otc alterations permit,8,2021-07-02T00:00:00.000,94116,1620110133132,wood frame (5),10000,3229,1 family dwelling,1,"{coordinates:[-122.502056045622,37.743514392964066],type:Point}",filed,wood frame (5)
office,1,2021-07-02T00:00:00.000,32,1,202107023691,"comply with nov#201638033.tenant improvement, office space build out at ground floor.",0,Ellis,6,St,010,2021-07-02T00:00:00.000,2,0324,5,5,Tenderloin,otc alterations permit,8,2021-07-02T00:00:00.000,94102,1620126301516,constr type 1,42000,376,office,32,"{coordinates:[-122.41238035404331,37.785205715187885],type:Point}",filed,constr type 1
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023672,"repair & in-kind replacement of the concrete slab in storage room. 250 sf. no change in ceiling height, no excavation,(n) sog to have welded wire mesh. work in family room extension(see plans under pa #8900599)provide damp proofing.",3500,Ina,11,Ct,014,2021-07-02T00:00:00.000,0,6003,2,2,Excelsior,otc alterations permit,8,2021-07-02T00:00:00.000,94112,1620104193541,wood frame (5),3500,73,1 family dwelling,1,"{coordinates:[-122.42497973953823,37.722972877518885],type:Point}",issued,wood frame (5)
office,3,2021-07-02T00:00:00.000,,3,202107023711,#150: mechanical and electrical only for 1st floor office t.i. per approved application # 202104128337. reconnecting (e) duct w/ (e) water source hear pump. addition and modification of diffusers,30000,Market,6,St,058,2021-07-02T00:00:00.000,2,3703,7,7,South of Market,otc alterations permit,8,2021-07-02T00:00:00.000,94103,1620149164345,constr type 3,30000,1035,office,,"{coordinates:[-122.41075803310811,37.78122615307478],type:Point}",issued,constr type 3
apartments,5,2021-07-02T00:00:00.000,3,5,202107023669,"remodel of kitchen + 2 bathrooms, new cabinets, countertops,tile, vanity,new plumbing + electric by other sub contractors. no new framing on removal of walls.",52400,Roosevelt,8,Wy,120,2021-07-02T00:00:00.000,0,2612,4,4,Castro/Upper Market,otc alterations permit,8,2021-07-02T00:00:00.000,94114,1620100504900,wood frame (5),50000,75,apartments,3,"{coordinates:[-122.43773681652524,37.76641601001701],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023725,"remodeling 2 bathrooms like for like, replace plumbing fixturse, 1 tub,1 shower, 2 toilet, 2 sinks. gfci x4.",24000,Idora,7,Av,037,2021-07-02T00:00:00.000,0,2914,2,2,West of Twin Peaks,otc alterations permit,8,2021-07-02T00:00:00.000,94127,1620165146918,wood frame (5),18000,65,1 family dwelling,1,"{coordinates:[-122.45556564703948,37.744528065265825],type:Point}",issued,wood frame (5)
apartments,3,2021-07-02T00:00:00.000,35,3,202107023706,unit #305: 1) revision to app202104098240(kitchen & bath only- no plans). 2)convert extg kitchen to study. 3) relocate kitchen. 4)rehabilitate extg bathroom. 5)install washer and dryer,0,Fulton,5,St,014,2021-07-02T00:00:00.000,2,0779,6,6,Western Addition,otc alterations permit,8,2021-07-02T00:00:00.000,94117,162014581668,constr type 3,25000,990,apartments,35,"{coordinates:[-122.43294922973931,37.77769335035072],type:Point}",filed,constr type 3
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023690,bathroom anad add washer and dryer hook up. dryer shall comply with cmc 504.4 and 502.2.1. no new wall and no existing wall relocation new lighting shall comply with cec150.0(k)3 & (k)5.,30000,South Van Ness,9,Av,003,2021-07-02T00:00:00.000,0,6527,2,2,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620124206271,wood frame (5),30000,1420,2 family dwelling,2,"{coordinates:[-122.41640861170669,37.75034138395452],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023699,"bathroom remodel. no layout changes, no wall stud framing demolition.",25000,Yerba Buena,7,Av,004,2021-07-02T00:00:00.000,0,3039,3,3,West of Twin Peaks,otc alterations permit,8,2021-07-02T00:00:00.000,94127,1620135150652,wood frame (5),25000,240,1 family dwelling,1,"{coordinates:[-122.46000346135352,37.73445974719926],type:Point}",issued,wood frame (5)
